player_id,bb,avg,slg,ops,cs,sb,hr,rbi,lob,xbh,obp,h,r,ab,so,babip
595777,48,0.218,0.41,0.711,1,9,20,67,229,46,0.301,100,65,459,75,0.218
665487,30,0.317,0.59,0.969,6,16,22,53,105,41,0.379,106,61,334,110,0.41
474832,83,0.234,0.403,0.742,3,4,17,57,217,52,0.339,123,76,526,127,0.275
592200,25,0.251,0.411,0.741,0,0,8,32,80,17,0.331,52,24,207,59,0.308
543063,53,0.228,0.35,0.654,2,3,11,59,207,37,0.304,114,58,500,117,0.274
664041,3,0.167,0.238,0.493,2,1,1,3,19,1,0.255,7,2,42,11,0.2
543105,13,0.22399999999999998,0.3435,0.598,1,1,6,28,75,22,0.2545,48,29,174,42,0.2945
643289,5,0.1395,0.221,0.377,1,3,4,9,36,9,0.156,29,12,106,20,0.1545
621453,16,0.234,0.341,0.619,4,1,4,28,78,18,0.278,61,26,261,78,0.313
527038,15,0.317,0.487,0.848,0,0,9,37,116,27,0.361,84,31,265,31,0.332
600303,20,0.295,0.486,0.832,0,0,16,44,130,24,0.346,86,49,292,28,0.282
446334,43,0.254,0.437,0.762,1,3,20,69,192,41,0.325,115,59,453,112,0.291
457763,34,0.257,0.368,0.688,0,0,7,38,166,31,0.32,104,43,405,71,0.296
596103,22,0.238,0.417,0.75,0,1,5,21,60,17,0.333,40,20,168,59,0.337
